lineages_l,number_genomes_per_lineage
XBB.1.5.55,33
XBB.1.5.56,10
XBB.1.5.57,27
XBB.1.5.58,3
XBB.1.5.59,188
XBB.1.5.6,19
XBB.1.5.60,41
XBB.1.5.61,28
XBB.1.5.62,60
XBB.1.5.63,41
XBB.1.5.64,1
XBB.1.5.65,80
XBB.1.5.66,43
XBB.1.5.67,35
XBB.1.5.68,10
XBB.1.5.69,1
XBB.1.5.7,2564
XBB.1.5.70,24
XBB.1.5.71,42
XBB.1.5.72,31
XBB.1.5.73,5
XBB.1.5.75,4
XBB.1.5.76,16
XBB.1.5.77,128
XBB.1.5.78,5
XBB.1.5.79,2
XBB.1.5.8,8
XBB.1.5.80,18
XBB.1.5.83,5
XBB.1.5.84,1
XBB.1.5.85,8
XBB.1.5.86,8
XBB.1.5.88,18
XBB.1.5.89,13
XBB.1.5.9,7
XBB.1.5.90,38
XBB.1.5.91,5
XBB.1.5.92,7
XBB.1.5.94,3
XBB.1.5.95,180
XBB.1.5.96,81
XBB.1.5.97,112
XBB.1.5.98,43
XBB.1.5.99,6
XBB.1.7,1
XBB.1.9,155
XBB.1.9.1,1680
XBB.1.9.2,831
XBB.1.9.3,10
XBB.1.9.4,10
XBB.1.9.5,4
XBB.1.9.7,2
XBB.2,258
XBB.2.1,27
XBB.2.10,16
XBB.2.11,9
XBB.2.11.1,18
XBB.2.2,12
XBB.2.3,325
XBB.2.3.1,159
XBB.2.3.11,214
XBB.2.3.12,14
XBB.2.3.13,31
XBB.2.3.14,17
XBB.2.3.2,141
XBB.2.3.3,106
XBB.2.3.4,20
XBB.2.3.5,12
XBB.2.3.6,6
XBB.2.3.7,6
XBB.2.3.8,48
XBB.2.3.9,3
XBB.2.4,59
XBB.2.5,60
XBB.2.6,41
XBB.2.7,11
XBB.2.7.1,3
XBB.2.8,26
XBB.2.9,1
XBB.3,57
XBB.3.1,19
XBB.3.2,13
XBB.3.4,1
XBB.4,3
XBB.4.1,6
XBB.6,2
XBB.7,3
XBB.8,11
XBB.9,4
XBC.1,34
XBC.1.1,5
XBC.1.1.1,4
XBC.1.2,2
XBC.1.2.1,1
XBC.1.3,2
XBC.1.5,2
XBC.1.6,1
XBC.1.6.1,3
XBC.2,5
XBD,25
XBE,108
XBF,588
XBF.1,7
XBF.1.1,67
XBF.10,3
XBF.2,3
XBF.3,111
XBF.4,153
XBF.5,4
XBF.6,4
XBF.7,22
XBF.7.1,23
XBF.9,34
XBG,69
XBH,9
XBJ,2
XBJ.2,2
XBK,119
XBK.1,8
XBL.2,1
XBL.3,6
XBM,3
XBP,8
XBQ,84
XBR,8
XBS,26
XBT,15
XBU,22
XBV,3
XBZ,5
XCA,60
XCC,4
XCF,14
XCG,1
XCH,16
XCH.1,135
XCK,2
XCL,60
XCM,28
XCP,21
XE,2142
XF,17
XG,2
XH,2
XJ,2
XL,96
XM,40
XN,295
XP,78
XQ,119
XR,180
XU,2
XW,16
XY,3
XZ,2
